model,layer,best_C,roc_auc,num_nonzero,sparsity_ratio,top_20_dims
base,0,0.001,0.5,0,0.0,"[1535, 1534, 505, 506, 507, 508, 509, 510, 511, 512, 513, 514, 515, 516, 517, 518, 519, 520, 521, 522]"
distilled,0,0.001,0.5,0,0.0,"[1535, 1534, 505, 506, 507, 508, 509, 510, 511, 512, 513, 514, 515, 516, 517, 518, 519, 520, 521, 522]"
base,1,0.1,0.71875,69,0.044921875,"[570, 68, 1255, 1279, 1389, 616, 1485, 279, 392, 1094, 954, 415, 910, 867, 381, 149, 1348, 307, 1179, 322]"
distilled,1,0.1,0.7209201388888888,66,0.04296875,"[570, 68, 364, 1255, 910, 1179, 604, 616, 355, 1039, 1389, 279, 1348, 432, 398, 513, 959, 514, 1279, 854]"
base,2,0.1,0.7486979166666666,57,0.037109375,"[570, 731, 616, 149, 699, 969, 402, 1040, 1163, 1376, 477, 385, 1279, 852, 1427, 1341, 431, 1463, 1085, 1404]"
distilled,2,10.0,0.7230902777777778,1189,0.7740885416666666,"[1348, 998, 526, 347, 356, 699, 210, 616, 139, 520, 1060, 438, 811, 431, 1087, 440, 1276, 79, 68, 760]"
base,3,10.0,0.7478298611111112,1216,0.7916666666666666,"[431, 616, 1382, 375, 715, 1284, 344, 1263, 1303, 161, 1348, 273, 62, 940, 999, 1528, 430, 570, 1081, 520]"
distilled,3,10.0,0.7560763888888888,1163,0.7571614583333334,"[616, 677, 356, 1348, 94, 840, 477, 672, 355, 344, 431, 625, 1364, 482, 392, 425, 730, 513, 90, 1267]"
base,4,1.0,0.7690972222222222,297,0.193359375,"[1303, 668, 595, 798, 889, 568, 708, 658, 672, 1054, 633, 1364, 799, 1083, 382, 580, 800, 1485, 1379, 402]"
distilled,4,1.0,0.7569444444444443,303,0.197265625,"[216, 796, 672, 677, 840, 402, 1364, 910, 302, 1485, 227, 978, 1362, 703, 1295, 542, 37, 1449, 477, 452]"
base,5,0.1,0.7391493055555556,59,0.038411458333333336,"[633, 129, 717, 834, 414, 1494, 570, 520, 29, 1024, 1282, 99, 1207, 642, 477, 949, 1132, 1498, 771, 1127]"
distilled,5,0.1,0.7925347222222222,81,0.052734375,"[642, 998, 1356, 599, 1498, 633, 1145, 477, 561, 732, 367, 382, 1201, 1375, 1040, 529, 14, 1405, 1132, 115]"
base,6,10.0,0.7456597222222222,1054,0.6861979166666666,"[863, 642, 719, 424, 1496, 1394, 1009, 449, 1040, 884, 1389, 1531, 1019, 1075, 689, 80, 1479, 240, 477, 960]"
distilled,6,10.0,0.7764756944444444,981,0.638671875,"[392, 642, 995, 1040, 159, 269, 192, 1143, 475, 14, 566, 902, 714, 1267, 1187, 207, 1498, 596, 732, 494]"
base,7,0.1,0.7005208333333333,57,0.037109375,"[895, 1353, 524, 6, 389, 581, 935, 212, 997, 1021, 978, 1414, 1372, 1431, 481, 1264, 1313, 1046, 1310, 287]"
distilled,7,0.1,0.7651909722222223,79,0.051432291666666664,"[1294, 858, 1420, 152, 978, 993, 1128, 713, 834, 266, 971, 866, 1107, 1152, 740, 85, 477, 200, 1486, 774]"
base,8,1.0,0.7447916666666666,279,0.181640625,"[657, 1437, 791, 85, 6, 408, 146, 749, 948, 935, 308, 1016, 1365, 1253, 1145, 1251, 1508, 256, 724, 159]"
distilled,8,0.1,0.7456597222222222,72,0.046875,"[1096, 1010, 772, 1453, 1501, 980, 950, 1048, 566, 608, 978, 1034, 627, 406, 1196, 124, 1486, 1086, 408, 63]"
base,9,1.0,0.7599826388888888,255,0.166015625,"[277, 631, 1437, 1251, 1031, 753, 1413, 1000, 36, 517, 610, 1167, 1481, 408, 997, 571, 783, 734, 1498, 6]"
