base_layer,distilled_layer,cka
0,0,0.9997742772102356
0,1,0.8847328424453735
0,2,0.8287097215652466
0,3,0.8249452710151672
0,4,0.7918811440467834
0,5,0.8456196188926697
0,6,0.8382420539855957
0,7,0.8393236398696899
0,8,0.8333151936531067
0,9,0.8142979741096497
0,10,0.7995774745941162
0,11,0.7898951172828674
0,12,0.7848320007324219
0,13,0.790182888507843
0,14,0.7491502165794373
0,15,0.7521061301231384
0,16,0.7234014272689819
0,17,0.7429096102714539
0,18,0.7448313236236572
0,19,0.7314354181289673
0,20,0.7588169574737549
0,21,0.7724294662475586
0,22,0.7681776881217957
0,23,0.7742232084274292
0,24,0.7775190472602844
0,25,0.7699699401855469
0,26,0.7746323347091675
0,27,0.7751292586326599
0,28,0.7627242803573608
1,0,0.8557064533233643
1,1,0.9803013801574707
1,2,0.9371085166931152
1,3,0.8867210149765015
1,4,0.8525290489196777
1,5,0.8528404235839844
1,6,0.8584964275360107
1,7,0.8654744625091553
1,8,0.852097749710083
1,9,0.8244982361793518
1,10,0.79494309425354
1,11,0.7879475355148315
1,12,0.7663013339042664
1,13,0.7616948485374451
1,14,0.7165485620498657
1,15,0.7147905230522156
1,16,0.6768274903297424
1,17,0.6856405735015869
1,18,0.6805134415626526
1,19,0.6615373492240906
1,20,0.6549459099769592
1,21,0.6432684063911438
1,22,0.6333497762680054
1,23,0.6250979900360107
1,24,0.6238011717796326
1,25,0.620851457118988
1,26,0.6282135844230652
1,27,0.6406692266464233
1,28,0.7416556477546692
2,0,0.8132742643356323
2,1,0.9558879137039185
2,2,0.9811207056045532
2,3,0.9245246648788452
2,4,0.8952397108078003
2,5,0.8736778497695923
2,6,0.876045823097229
2,7,0.8842229843139648
2,8,0.8804278373718262
2,9,0.8552842736244202
2,10,0.8321176171302795
2,11,0.822179913520813
2,12,0.8024194240570068
2,13,0.7958223819732666
2,14,0.7628148794174194
2,15,0.7515833973884583
2,16,0.7178060412406921
2,17,0.718762993812561
2,18,0.7079324722290039
2,19,0.6915125250816345
2,20,0.6675814390182495
2,21,0.6475562453269958
2,22,0.6336339712142944
2,23,0.6220352649688721
2,24,0.6187834143638611
2,25,0.6205843687057495
2,26,0.6257866621017456
