layer,cka,cka_divergence
0,0.9996713995933533,0.0003286004066467285
1,0.988568902015686,0.011431097984313965
2,0.9856786131858826,0.014321386814117432
3,0.9816063642501831,0.018393635749816895
4,0.9666274785995483,0.03337252140045166
5,0.964626133441925,0.03537386655807495
6,0.9680766463279724,0.03192335367202759
7,0.9653932452201843,0.034606754779815674
8,0.959165632724762,0.04083436727523804
9,0.955229640007019,0.04477035999298096
10,0.9427818655967712,0.05721813440322876
11,0.9301546216011047,0.06984537839889526
12,0.9298017024993896,0.07019829750061035
13,0.9313725829124451,0.06862741708755493
14,0.9278138875961304,0.07218611240386963
15,0.9223095178604126,0.0776904821395874
16,0.9161772727966309,0.08382272720336914
17,0.9025329351425171,0.09746706485748291
18,0.9011147022247314,0.09888529777526855
19,0.8883888125419617,0.11161118745803833
20,0.865857720375061,0.13414227962493896
21,0.8362583518028259,0.16374164819717407
22,0.8146337270736694,0.18536627292633057
23,0.7921702861785889,0.20782971382141113
24,0.7769451141357422,0.2230548858642578
25,0.7682855129241943,0.23171448707580566
26,0.7594717144966125,0.24052828550338745
27,0.7509411573410034,0.24905884265899658
28,0.77767014503479,0.22232985496520996
