layer_i,layer_j,cka
0,0,1.0
0,1,0.8576565980911255
0,2,0.8145902752876282
0,3,0.8532280921936035
0,4,0.8112387657165527
0,5,0.8338846564292908
0,6,0.8342546224594116
0,7,0.831173837184906
0,8,0.8185538053512573
0,9,0.7866516709327698
0,10,0.759988009929657
0,11,0.7451890110969543
0,12,0.7490324974060059
0,13,0.7495219707489014
0,14,0.7302103638648987
0,15,0.7307305335998535
0,16,0.706196129322052
0,17,0.7192502021789551
0,18,0.7219271659851074
0,19,0.7015685439109802
0,20,0.70767742395401
0,21,0.7059098482131958
0,22,0.6826969385147095
0,23,0.6941425800323486
0,24,0.6837884783744812
0,25,0.6540355682373047
0,26,0.642033576965332
0,27,0.6270162463188171
0,28,0.4983826279640198
1,0,0.8576576113700867
1,1,1.0
1,2,0.963698148727417
1,3,0.9103032946586609
1,4,0.8727817535400391
1,5,0.8470662236213684
1,6,0.8554396629333496
1,7,0.8634708523750305
1,8,0.8475587964057922
1,9,0.8096821308135986
1,10,0.7749202847480774
1,11,0.7626252174377441
1,12,0.7516080737113953
1,13,0.7450504302978516
1,14,0.7202845215797424
1,15,0.7162778377532959
1,16,0.6803489923477173
1,17,0.6808479428291321
1,18,0.6784282326698303
1,19,0.662379801273346
1,20,0.6511729955673218
1,21,0.6412053108215332
1,22,0.6195748448371887
1,23,0.615766704082489
1,24,0.6069875955581665
1,25,0.5844991207122803
1,26,0.5848428606987
1,27,0.5924855470657349
1,28,0.6643772721290588
2,0,0.8145911693572998
2,1,0.9636978507041931
2,2,1.0
2,3,0.9398906230926514
2,4,0.9144412279129028
2,5,0.877532422542572
2,6,0.8781902194023132
2,7,0.8859347701072693
2,8,0.8840751051902771
2,9,0.8550844192504883
2,10,0.8292238116264343
2,11,0.8135454654693604
2,12,0.8009529709815979
2,13,0.7931461930274963
2,14,0.7751734256744385
2,15,0.7636542320251465
2,16,0.7293448448181152
2,17,0.7206816077232361
2,18,0.7133260369300842
2,19,0.7005977034568787
2,20,0.676885724067688
2,21,0.6605234146118164
2,22,0.6359536647796631
2,23,0.628852367401123
2,24,0.6189113259315491
2,25,0.6031143069267273
2,26,0.6037919521331787
2,27,0.6117029190063477
2,28,0.6434385180473328
3,0,0.8532285690307617
3,1,0.9103027582168579
3,2,0.93989098072052
3,3,1.0
3,4,0.9722452163696289
3,5,0.9639661312103271
3,6,0.9625323414802551
3,7,0.9603210091590881
3,8,0.9541277885437012
3,9,0.9355535507202148
3,10,0.9172623157501221
3,11,0.8985022902488708
3,12,0.8935341835021973
3,13,0.8909053206443787
3,14,0.8724954724311829
3,15,0.8657172918319702
3,16,0.8359799981117249
3,17,0.8297387957572937
3,18,0.82425856590271
3,19,0.8052529692649841
3,20,0.7905749082565308
3,21,0.7766103744506836
3,22,0.7502275109291077
3,23,0.7499943971633911
3,24,0.7390673756599426
3,25,0.7230849862098694
3,26,0.7191258072853088
3,27,0.7178350687026978
3,28,0.628536581993103
4,0,0.811240017414093
4,1,0.8727820515632629
4,2,0.9144419431686401
4,3,0.972244918346405
4,4,1.0
4,5,0.974483072757721
4,6,0.967269241809845
4,7,0.9592957496643066
4,8,0.9575177431106567
4,9,0.9441769123077393
4,10,0.9335299730300903
4,11,0.9181601405143738
4,12,0.913733720779419
4,13,0.907780647277832
4,14,0.892018735408783
4,15,0.8839626908302307
4,16,0.8584628701210022
4,17,0.846301257610321
4,18,0.8397812843322754
4,19,0.8223596215248108
4,20,0.798481285572052
4,21,0.7809230089187622
4,22,0.755733847618103
4,23,0.7484926581382751
4,24,0.7373627424240112
4,25,0.727698564529419
4,26,0.7245174050331116
4,27,0.7237260341644287
4,28,0.6203839778900146
5,0,0.8338854908943176
5,1,0.8470664024353027
5,2,0.8775333166122437
5,3,0.9639661312103271
5,4,0.9744826555252075
5,5,1.0
5,6,0.9881711602210999
5,7,0.9795820116996765
5,8,0.9733574986457825
5,9,0.9577979445457458
5,10,0.9504132270812988
5,11,0.934809684753418
5,12,0.9344666004180908
5,13,0.9309535026550293
5,14,0.913588285446167
5,15,0.9078793525695801
5,16,0.8852072358131409
5,17,0.8785207867622375
5,18,0.8769962787628174
5,19,0.855781078338623
5,20,0.8406028151512146
5,21,0.827704668045044
5,22,0.7997086048126221
5,23,0.7992547750473022
5,24,0.7874681949615479
5,25,0.7730922102928162
5,26,0.7648757696151733
5,27,0.7573182582855225
5,28,0.5972758531570435
6,0,0.8342563509941101
6,1,0.855439305305481
6,2,0.8781898617744446
6,3,0.9625323414802551
6,4,0.9672695994377136
6,5,0.9881706237792969
6,6,1.0
6,7,0.9904838800430298
6,8,0.97856605052948
6,9,0.962546706199646
6,10,0.9484331607818604
6,11,0.9353567957878113
6,12,0.9345387816429138
6,13,0.9325152635574341
6,14,0.9133848547935486
6,15,0.9114092588424683
6,16,0.8872904777526855
6,17,0.8845828175544739
6,18,0.8804616332054138
6,19,0.8598384857177734
6,20,0.8497032523155212
6,21,0.8362479209899902
6,22,0.8109097480773926
6,23,0.8090409636497498
6,24,0.7980071902275085
6,25,0.7833548784255981
6,26,0.7770366072654724
6,27,0.7722395658493042
6,28,0.6283308863639832
7,0,0.8311762809753418
7,1,0.8634706735610962
7,2,0.8859339356422424
7,3,0.9603217244148254
7,4,0.9592951536178589
7,5,0.9795820116996765
7,6,0.9904838800430298
7,7,1.0
7,8,0.9898485541343689
7,9,0.9725661277770996
7,10,0.9577785134315491
7,11,0.9441531300544739
7,12,0.9413704872131348
7,13,0.9388576745986938
7,14,0.9193392395973206
7,15,0.9162756204605103
7,16,0.8899437189102173
7,17,0.8868855237960815
7,18,0.8815062642097473
7,19,0.8616433143615723
7,20,0.8509933948516846
7,21,0.8352422118186951
7,22,0.8069736361503601
7,23,0.8055920004844666
7,24,0.7944860458374023
7,25,0.7779755592346191
7,26,0.772264301776886
7,27,0.7683686017990112
7,28,0.6414256691932678
8,0,0.8185557126998901
8,1,0.8475584983825684
8,2,0.8840749263763428
8,3,0.954128623008728
8,4,0.9575176239013672
8,5,0.9733582735061646
8,6,0.9785654544830322
8,7,0.9898490905761719
8,8,1.0
8,9,0.9872261881828308
8,10,0.9755345582962036
8,11,0.960835337638855
8,12,0.9576238989830017
8,13,0.953460156917572
8,14,0.9384711384773254
8,15,0.9307688474655151
8,16,0.9052533507347107
8,17,0.8974643349647522
8,18,0.8904488682746887
8,19,0.8716044425964355
8,20,0.8531705737113953
8,21,0.8331847786903381
8,22,0.801608145236969
8,23,0.799614667892456
8,24,0.787503182888031
8,25,0.7726842164993286
8,26,0.7658193707466125
8,27,0.7598896026611328
8,28,0.6214123964309692
9,0,0.7866541147232056
9,1,0.8096832633018494
9,2,0.855085015296936
9,3,0.935554027557373
9,4,0.9441775679588318
9,5,0.9577975273132324
9,6,0.9625478386878967
9,7,0.9725664258003235
9,8,0.9872269630432129
9,9,1.0
9,10,0.9874303936958313
9,11,0.972692608833313
9,12,0.9675604104995728
9,13,0.9641866683959961
9,14,0.951767086982727
9,15,0.9442017078399658
9,16,0.9184432029724121
9,17,0.9072288870811462
9,18,0.8993716835975647
9,19,0.881480872631073
9,20,0.8611204624176025
9,21,0.8373792767524719
9,22,0.8073111176490784
9,23,0.802000105381012
9,24,0.7878140211105347
9,25,0.7762893438339233
9,26,0.7700492739677429
9,27,0.7646723389625549
9,28,0.6103164553642273
10,0,0.7599900960922241
10,1,0.7749204635620117
10,2,0.8292236328125
10,3,0.9172622561454773
10,4,0.933529794216156
10,5,0.950413703918457
10,6,0.948433518409729
10,7,0.9577789306640625
10,8,0.9755353927612305
10,9,0.9874317049980164
10,10,1.0
10,11,0.986126720905304
10,12,0.979435920715332
10,13,0.9733520150184631
10,14,0.9640047550201416
10,15,0.954756498336792
10,16,0.9344565868377686
10,17,0.9164924025535583
10,18,0.9099689722061157
10,19,0.8906099200248718
10,20,0.863262951374054
10,21,0.8378947973251343
10,22,0.8053093552589417
10,23,0.7989482879638672
10,24,0.7841739654541016
10,25,0.7755017876625061
10,26,0.7685302495956421
10,27,0.7619900107383728
10,28,0.5905795097351074
11,0,0.7451902031898499
11,1,0.7626255750656128
11,2,0.8135457038879395
11,3,0.8985022306442261
11,4,0.9181613922119141
11,5,0.9348104596138
11,6,0.9353563785552979
11,7,0.9441537261009216
11,8,0.9608364701271057
11,9,0.972692608833313
11,10,0.986126720905304
11,11,1.0
11,12,0.9898949861526489
11,13,0.981265664100647
11,14,0.9741637110710144
11,15,0.9670732617378235
11,16,0.9500272274017334
11,17,0.9320834875106812
11,18,0.926541805267334
11,19,0.9073178172111511
11,20,0.8788668513298035
11,21,0.8540316820144653
11,22,0.8224266767501831
11,23,0.8134686946868896
11,24,0.799007773399353
11,25,0.7910516858100891
11,26,0.7850447297096252
11,27,0.7801543474197388
11,28,0.6120933294296265
12,0,0.7490338683128357
12,1,0.7516085505485535
12,2,0.8009531497955322
12,3,0.8935349583625793
12,4,0.913733959197998
12,5,0.9344673156738281
12,6,0.9345394968986511
12,7,0.9413699507713318
12,8,0.9576238989830017
12,9,0.9675610661506653
12,10,0.9794352650642395
12,11,0.9898943305015564
12,12,1.0
12,13,0.99299556016922
12,14,0.9865702390670776
12,15,0.9795253276824951
12,16,0.9658854603767395
12,17,0.9504606127738953
12,18,0.9448095560073853
12,19,0.9276033043861389
12,20,0.8986783027648926
12,21,0.8751901388168335
12,22,0.8437455296516418
12,23,0.8368643522262573
12,24,0.8233745694160461
12,25,0.8161768913269043
12,26,0.8092482686042786
12,27,0.8017699122428894
12,28,0.5997397303581238
13,0,0.7495236992835999
13,1,0.7450504302978516
13,2,0.7931458950042725
13,3,0.8909050822257996
13,4,0.9077808856964111
13,5,0.930954098701477
13,6,0.9325157999992371
13,7,0.938856840133667
13,8,0.953459620475769
13,9,0.9641857743263245
13,10,0.9733511805534363
13,11,0.9812652468681335
13,12,0.99299556016922
13,13,1.0
13,14,0.9931487441062927
13,15,0.987301766872406
13,16,0.97414231300354
13,17,0.963404655456543
13,18,0.9546620845794678
13,19,0.9383716583251953
13,20,0.9119187593460083
13,21,0.8907576203346252
13,22,0.8589500188827515
13,23,0.8533183336257935
13,24,0.8423206806182861
13,25,0.8352108597755432
13,26,0.8286621570587158
13,27,0.8205171823501587
13,28,0.6052853465080261
14,0,0.7302122116088867
14,1,0.7202844023704529
14,2,0.7751734256744385
14,3,0.8724952936172485
14,4,0.8920189738273621
14,5,0.9135887622833252
14,6,0.9133855104446411
14,7,0.9193399548530579
14,8,0.9384714365005493
14,9,0.9517675042152405
14,10,0.9640049338340759
14,11,0.9741642475128174
14,12,0.9865705370903015
14,13,0.9931483864784241
14,14,1.0
14,15,0.9924332499504089
14,16,0.9831417202949524
14,17,0.969622015953064
14,18,0.9601858854293823
14,19,0.945889949798584
14,20,0.9156760573387146
14,21,0.8928481936454773
14,22,0.8601000308990479
14,23,0.8531734943389893
14,24,0.841477632522583
14,25,0.8359779715538025
14,26,0.8292310237884521
14,27,0.8200136423110962
14,28,0.591310977935791
15,0,0.7307326793670654
15,1,0.7162786722183228
15,2,0.7636550664901733
15,3,0.8657176494598389
15,4,0.8839629888534546
15,5,0.9078800082206726
15,6,0.9114106297492981
15,7,0.9162771105766296
15,8,0.9307692050933838
15,9,0.9442014694213867
15,10,0.9547562599182129
15,11,0.9670734405517578
15,12,0.9795264601707458
15,13,0.9873037934303284
15,14,0.9924340844154358
15,15,1.0
15,16,0.9904014468193054
15,17,0.9798043370246887
15,18,0.9707971215248108
15,19,0.956717848777771
15,20,0.9330633282661438
15,21,0.9095876812934875
15,22,0.8800500631332397
15,23,0.8719264268875122
15,24,0.8589691519737244
15,25,0.8536733388900757
15,26,0.8461709022521973
15,27,0.8379355072975159
15,28,0.601698100566864
16,0,0.70619797706604
16,1,0.6803497672080994
16,2,0.7293460965156555
16,3,0.8359811902046204
16,4,0.8584635853767395
16,5,0.885208249092102
16,6,0.8872910737991333
16,7,0.8899454474449158
16,8,0.9052537083625793
