layer_i,layer_j,cka
0,0,1.0
0,1,0.888795018196106
0,2,0.8272161483764648
0,3,0.8121866583824158
0,4,0.7937905788421631
0,5,0.8297633528709412
0,6,0.8279656171798706
0,7,0.8189806342124939
0,8,0.8002661466598511
0,9,0.7834106087684631
0,10,0.7522213459014893
0,11,0.73011714220047
0,12,0.724031925201416
0,13,0.730338990688324
0,14,0.681562602519989
0,15,0.6867779493331909
0,16,0.6495149731636047
0,17,0.6694786548614502
0,18,0.6574657559394836
0,19,0.6463225483894348
0,20,0.6601042747497559
0,21,0.6579884886741638
0,22,0.6371239423751831
0,23,0.6294823884963989
0,24,0.6342671513557434
0,25,0.6175387501716614
0,26,0.6299351453781128
0,27,0.6475718021392822
0,28,0.6853726506233215
1,0,0.8887971639633179
1,1,0.9999998211860657
1,2,0.9614130258560181
1,3,0.9302288293838501
1,4,0.8976329565048218
1,5,0.8966766595840454
1,6,0.9018984436988831
1,7,0.9081881642341614
1,8,0.8816508650779724
1,9,0.8545129895210266
1,10,0.8154127597808838
1,11,0.7920300364494324
1,12,0.7785333395004272
1,13,0.7798411846160889
1,14,0.7293027639389038
1,15,0.7254537343978882
1,16,0.682118833065033
1,17,0.6865620613098145
1,18,0.6704904437065125
1,19,0.6603595614433289
1,20,0.6415442824363708
1,21,0.6080862283706665
1,22,0.5734432935714722
1,23,0.5533918142318726
1,24,0.5576995015144348
1,25,0.5548153519630432
1,26,0.5727740526199341
1,27,0.5995370149612427
1,28,0.701939046382904
2,0,0.8272179961204529
2,1,0.9614130258560181
2,2,0.9999998211860657
2,3,0.960174560546875
2,4,0.9350867867469788
2,5,0.9129505753517151
2,6,0.9112645983695984
2,7,0.922724723815918
2,8,0.914212167263031
2,9,0.8888083696365356
2,10,0.8583742380142212
2,11,0.8344660997390747
2,12,0.8212879300117493
2,13,0.8187968730926514
2,14,0.7808011770248413
2,15,0.7666012048721313
2,16,0.7266259789466858
2,17,0.7237632870674133
2,18,0.7046118378639221
2,19,0.6972365975379944
2,20,0.6600167751312256
2,21,0.616260826587677
2,22,0.5776123404502869
2,23,0.5540456175804138
2,24,0.5544062852859497
2,25,0.5587573051452637
2,26,0.571286141872406
2,27,0.5937830209732056
2,28,0.6446546912193298
3,0,0.8121883273124695
3,1,0.9302300810813904
3,2,0.9601747989654541
3,3,0.9999998211860657
3,4,0.9796913862228394
3,5,0.9590997099876404
3,6,0.958272397518158
3,7,0.9590458273887634
3,8,0.9459567666053772
3,9,0.9316096305847168
3,10,0.9045701026916504
3,11,0.8829764723777771
3,12,0.8714091777801514
3,13,0.8718539476394653
3,14,0.8341352939605713
3,15,0.8268872499465942
3,16,0.7880359888076782
3,17,0.7848416566848755
3,18,0.769618034362793
3,19,0.7610654234886169
3,20,0.7357527017593384
3,21,0.6951510310173035
3,22,0.6581830978393555
3,23,0.6350382566452026
3,24,0.6340917348861694
3,25,0.6417452096939087
3,26,0.6524725556373596
3,27,0.6734089851379395
3,28,0.6790831089019775
4,0,0.7937920093536377
4,1,0.8976323008537292
4,2,0.9350867867469788
4,3,0.9796915054321289
4,4,0.9999997019767761
4,5,0.9697061777114868
4,6,0.9624411463737488
4,7,0.9593544006347656
4,8,0.9525492787361145
4,9,0.9421218037605286
4,10,0.9212151169776917
4,11,0.9009948372840881
4,12,0.891042947769165
4,13,0.889080286026001
4,14,0.854775071144104
4,15,0.8468406796455383
4,16,0.8113865852355957
4,17,0.8094735145568848
4,18,0.792612612247467
4,19,0.782050609588623
4,20,0.749960720539093
4,21,0.7074223160743713
4,22,0.670547366142273
4,23,0.6429846286773682
4,24,0.6387205719947815
4,25,0.648351788520813
4,26,0.654525876045227
4,27,0.6735326647758484
4,28,0.6509413719177246
5,0,0.8297651410102844
5,1,0.8966771960258484
5,2,0.9129507541656494
5,3,0.9590993523597717
5,4,0.9697060585021973
5,5,0.9999997615814209
5,6,0.9896035194396973
5,7,0.979507327079773
5,8,0.966548502445221
5,9,0.955978512763977
5,10,0.9363028407096863
5,11,0.9168727993965149
5,12,0.9108376502990723
5,13,0.9105811715126038
5,14,0.8711789846420288
5,15,0.8675801157951355
5,16,0.8332439661026001
5,17,0.8389419317245483
5,18,0.8269257545471191
5,19,0.8129658699035645
5,20,0.8016026020050049
5,21,0.7766991257667542
5,22,0.7459610104560852
5,23,0.7275350689888
5,24,0.7264742255210876
5,25,0.7252391576766968
5,26,0.7326027154922485
5,27,0.7472405433654785
5,28,0.7057574391365051
6,0,0.8279674649238586
6,1,0.9018988013267517
6,2,0.9112650752067566
6,3,0.9582733511924744
6,4,0.962441623210907
6,5,0.989604115486145
6,6,1.0000001192092896
6,7,0.987183153629303
6,8,0.9679802060127258
6,9,0.9569453597068787
6,10,0.9323693513870239
6,11,0.9156892895698547
6,12,0.9069890379905701
6,13,0.9066475033760071
6,14,0.8648605942726135
6,15,0.8646179437637329
6,16,0.8281406760215759
6,17,0.833065927028656
6,18,0.8239091038703918
6,19,0.8097472786903381
6,20,0.7999125123023987
6,21,0.7703889608383179
6,22,0.7403632402420044
6,23,0.7178074717521667
6,24,0.7165431380271912
6,25,0.715732753276825
6,26,0.7255941033363342
6,27,0.7447565793991089
6,28,0.7225570678710938
7,0,0.8189834952354431
7,1,0.9081898927688599
7,2,0.922725260257721
7,3,0.9590467214584351
7,4,0.9593544006347656
7,5,0.9795082211494446
7,6,0.9871829152107239
7,7,0.9999997019767761
7,8,0.9849920868873596
7,9,0.9737136363983154
7,10,0.9501796960830688
7,11,0.9331879615783691
7,12,0.9220083355903625
7,13,0.9211518168449402
7,14,0.8797711133956909
7,15,0.8770896792411804
7,16,0.8382648825645447
7,17,0.8413664102554321
7,18,0.8281913995742798
7,19,0.8132039308547974
7,20,0.7951056361198425
7,21,0.7588531374931335
7,22,0.7242079973220825
7,23,0.7001672983169556
7,24,0.6982340812683105
7,25,0.697482168674469
7,26,0.7074005007743835
7,27,0.7255723476409912
7,28,0.7109795808792114
8,0,0.8002693057060242
8,1,0.8816516995429993
8,2,0.9142124652862549
8,3,0.9459571838378906
8,4,0.9525482654571533
8,5,0.9665489792823792
8,6,0.9679800868034363
8,7,0.9849915504455566
8,8,0.9999995231628418
8,9,0.9882617592811584
8,10,0.973579466342926
8,11,0.9558544754981995
8,12,0.9483773112297058
8,13,0.9458919167518616
8,14,0.9130212068557739
8,15,0.9041522741317749
8,16,0.8693662881851196
8,17,0.8689658045768738
8,18,0.8513632416725159
8,19,0.8375836610794067
8,20,0.8082617521286011
8,21,0.7683731317520142
8,22,0.7304650545120239
8,23,0.7072709798812866
8,24,0.7030184864997864
8,25,0.705287516117096
8,26,0.7105950117111206
8,27,0.7235780954360962
8,28,0.6700414419174194
9,0,0.783412754535675
9,1,0.8545129895210266
9,2,0.8888092041015625
9,3,0.9316105246543884
9,4,0.9421236515045166
9,5,0.9559788107872009
9,6,0.9569457173347473
9,7,0.9737139344215393
9,8,0.9882615804672241
9,9,0.9999994039535522
9,10,0.9867927432060242
9,11,0.9706254601478577
9,12,0.9610620141029358
9,13,0.9592338800430298
9,14,0.9281415939331055
9,15,0.9215267300605774
9,16,0.8857641220092773
9,17,0.8859826326370239
9,18,0.866518497467041
9,19,0.8518285155296326
9,20,0.8255566954612732
9,21,0.7839921712875366
9,22,0.745155930519104
9,23,0.7211540341377258
9,24,0.7156475186347961
9,25,0.7180218696594238
9,26,0.7220225930213928
9,27,0.733989953994751
9,28,0.6681188344955444
10,0,0.7522238492965698
10,1,0.8154138922691345
10,2,0.858374834060669
10,3,0.9045705199241638
10,4,0.921215295791626
10,5,0.9363033771514893
10,6,0.9323689341545105
10,7,0.9501795172691345
10,8,0.9735792279243469
10,9,0.9867929816246033
10,10,0.9999996423721313
10,11,0.9850764870643616
10,12,0.9787762761116028
10,13,0.9738157987594604
10,14,0.9517645239830017
10,15,0.9433507323265076
10,16,0.9154843688011169
10,17,0.911280632019043
10,18,0.8894232511520386
10,19,0.8737789988517761
10,20,0.8407195806503296
10,21,0.7982038259506226
10,22,0.7567489743232727
10,23,0.7329114675521851
10,24,0.7251397371292114
10,25,0.7297224402427673
10,26,0.7301634550094604
10,27,0.7382848262786865
10,28,0.6415528655052185
11,0,0.7301210165023804
11,1,0.7920307517051697
11,2,0.8344670534133911
11,3,0.8829776644706726
11,4,0.9009949564933777
11,5,0.9168730974197388
11,6,0.915690541267395
11,7,0.9331875443458557
11,8,0.9558549523353577
11,9,0.9706264138221741
11,10,0.9850767254829407
11,11,0.9999995827674866
11,12,0.988343358039856
11,13,0.9808444380760193
11,14,0.9632683992385864
11,15,0.9566314220428467
11,16,0.9320531487464905
11,17,0.9277979135513306
11,18,0.9070942997932434
11,19,0.8904888033866882
11,20,0.8570515513420105
11,21,0.8116347193717957
11,22,0.7692410349845886
11,23,0.7413463592529297
11,24,0.731356143951416
11,25,0.7362669706344604
11,26,0.735994279384613
11,27,0.7445849776268005
11,28,0.643566370010376
12,0,0.7240347266197205
12,1,0.7785348892211914
12,2,0.8212882280349731
12,3,0.8714091777801514
12,4,0.8910437822341919
12,5,0.9108381271362305
12,6,0.906989574432373
12,7,0.9220083951950073
12,8,0.9483771920204163
12,9,0.9610622525215149
12,10,0.9787762761116028
12,11,0.9883431196212769
12,12,1.0
12,13,0.9918535947799683
12,14,0.9792888164520264
12,15,0.971049964427948
12,16,0.9527509808540344
12,17,0.9470770955085754
12,18,0.9269533157348633
12,19,0.911440372467041
12,20,0.8749585747718811
12,21,0.8326354622840881
12,22,0.7903028726577759
12,23,0.766036868095398
12,24,0.7557801008224487
12,25,0.762343168258667
12,26,0.75967937707901
12,27,0.7636820077896118
12,28,0.6329418420791626
13,0,0.7303417921066284
13,1,0.779840886592865
13,2,0.8187974095344543
13,3,0.8718544840812683
13,4,0.8890811204910278
13,5,0.9105820059776306
13,6,0.9066472053527832
13,7,0.9211520552635193
13,8,0.945892333984375
13,9,0.9592342376708984
13,10,0.973815381526947
13,11,0.9808439016342163
13,12,0.9918534159660339
13,13,0.9999998211860657
13,14,0.9846738576889038
13,15,0.9797622561454773
13,16,0.9590650200843811
13,17,0.9560456871986389
13,18,0.9381332993507385
13,19,0.9232288002967834
13,20,0.8892556428909302
13,21,0.8471527099609375
13,22,0.8047952055931091
13,23,0.7813448905944824
13,24,0.7712826132774353
13,25,0.7773991227149963
13,26,0.7751920819282532
13,27,0.7776703238487244
13,28,0.6395628452301025
14,0,0.6815646886825562
14,1,0.729303777217865
14,2,0.7808014750480652
14,3,0.8341363072395325
14,4,0.8547759056091309
14,5,0.8711790442466736
14,6,0.8648607134819031
14,7,0.8797712922096252
14,8,0.9130213856697083
14,9,0.9281419515609741
14,10,0.9517645239830017
14,11,0.9632678627967834
14,12,0.9792882800102234
14,13,0.9846746921539307
14,14,0.9999998807907104
14,15,0.9898975491523743
14,16,0.9791579842567444
14,17,0.9696153998374939
14,18,0.9483250379562378
14,19,0.9382950663566589
14,20,0.893890380859375
14,21,0.8471270203590393
14,22,0.7998363971710205
14,23,0.7758967280387878
14,24,0.7627638578414917
14,25,0.7721518278121948
14,26,0.7659355998039246
14,27,0.7647440433502197
14,28,0.6011567115783691
15,0,0.6867801547050476
