model_key,layer,probe_type,best_C,roc_auc,precision,recall,f1,ece
base,0,linear,10.0,0.8280768666568872,0.6542056074766355,0.6862745098039216,0.6698564593301436,0.19587453047265846
base,0,mlp,,0.7890567698401055,0.5639097744360902,0.7352941176470589,0.6382978723404256,0.23298547669660086
base,1,linear,0.01,0.8952373967043177,0.5510204081632653,0.7941176470588235,0.6506024096385542,0.11178006835818166
base,1,mlp,,0.8778054862842892,0.5197368421052632,0.7745098039215687,0.6220472440944882,0.12251025315366731
base,2,linear,0.01,0.9044789985819764,0.5954198473282443,0.7647058823529411,0.6695278969957081,0.08963745534387027
base,2,mlp,,0.9061415089726663,0.5151515151515151,0.8333333333333334,0.6367041198501873,0.1396063686779906
base,3,linear,0.01,0.916189917363454,0.609375,0.7647058823529411,0.6782608695652174,0.0789992284622111
base,3,mlp,,0.9101999902205271,0.5942028985507246,0.803921568627451,0.6833333333333333,0.08342567516516738
base,4,linear,0.01,0.9197105276025622,0.6090225563909775,0.7941176470588235,0.6893617021276596,0.0828366095305147
base,4,mlp,,0.9200772578358026,0.6434108527131783,0.8137254901960784,0.7186147186147186,0.07543791413573811
base,5,linear,0.01,0.925553762652193,0.6015037593984962,0.7843137254901961,0.6808510638297872,0.08760828019114808
base,5,mlp,,0.9172656593809594,0.6106870229007634,0.7843137254901961,0.6866952789699571,0.08760504651570297
base,6,linear,0.01,0.9155053542614053,0.5851851851851851,0.7745098039215687,0.6666666666666666,0.09061468636077515
base,6,mlp,,0.9125715123954818,0.5944055944055944,0.8333333333333334,0.6938775510204082,0.09830180487630677
base,7,linear,0.01,0.9254804166055449,0.6014492753623188,0.8137254901960784,0.6916666666666667,0.09746774058100185
base,7,mlp,,0.922913304972862,0.6056338028169014,0.8431372549019608,0.7049180327868853,0.08842344925355604
base,8,linear,0.01,0.9304190504131827,0.6136363636363636,0.7941176470588235,0.6923076923076923,0.09237377373596624
base,8,mlp,,0.9171189672876632,0.5743243243243243,0.8333333333333334,0.68,0.09821000775214928
base,9,linear,0.01,0.9321793555327368,0.6170212765957447,0.8529411764705882,0.7160493827160493,0.09010119798025124
